Pais,SICCODE_Codigo,Descripcion,Riesgo,Codseccion,Descrip seccion
CFC,1020,Industrias manufactureras,Bajo,"C         ","""""""Procesamiento y conservación de frutas"
CFC,1030,Industrias manufactureras,Bajo,"C         ",Elaboración de aceites y grasas de origen vegetal y animal
CFC,1040,Industrias manufactureras,Bajo,"C         ",Elaboración de productos lácteos
CFC,1051,Industrias manufactureras,Bajo,"C         ",Elaboración de productos de molinería
CFC,1052,Industrias manufactureras,Bajo,"C         ",Elaboración de almidones y productos derivados del almidón
CFC,1061,Industrias manufactureras,Bajo,"C         ",Trilla de café
CFC,1062,Industrias manufactureras,Bajo,"C         ","""""""Descafeinado"
CFC,1063,Industrias manufactureras,Bajo,"C         ",Otros derivados del café
CFC,1071,Industrias manufactureras,Bajo,"C         ",Elaboración y refinación de azúcar
CFC,1072,Industrias manufactureras,Bajo,"C         ",Elaboración de panela
CFC,1081,Industrias manufactureras,Bajo,"C         ",Elaboración de productos de panadería
CFC,1082,Industrias manufactureras,Bajo,"C         ","""""""Elaboración de cacao"
CFC,1083,Industrias manufactureras,Bajo,"C         ","""""""Elaboración de macarrones"
CFC,1084,Industrias manufactureras,Bajo,"C         ",Elaboración de comidas y platos preparados
CFC,1089,Industrias manufactureras,Bajo,"C         ",Elaboración de otros productos alimenticios n.c.p.
CFC,1101,Industrias manufactureras,Bajo,"C         ","""""""Destilación"
CFC,1102,Industrias manufactureras,Bajo,"C         ",Elaboración de bebidas fermentadas no destiladas
CFC,1103,Industrias manufactureras,Bajo,"C         ","""""""Producción de malta"
CFC,1104,Industrias manufactureras,Bajo,"C         ","""""""Elaboración de bebidas no alcohólicas"
CFC,1200,Industrias manufactureras,Bajo,"C         ",Elaboración de productos de tabaco
CFC,1311,Industrias manufactureras,Bajo,"C         ",Preparación e hilatura de fibras textiles
CFC,1312,Industrias manufactureras,Bajo,"C         ",Tejeduría de productos textiles
CFC,1313,Industrias manufactureras,Bajo,"C         ",Acabado de productos textiles
CFC,1391,Industrias manufactureras,Bajo,"C         ",Fabricación de tejidos de punto y ganchillo
CFC,1392,Industrias manufactureras,Bajo,"C         ","""""""Confección de artículos con materiales textiles"
CFC,1393,Industrias manufactureras,Bajo,"C         ",Fabricación de tapetes y alfombras para pisos
CFC,1394,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de cuerdas"
CFC,1399,Industrias manufactureras,Bajo,"C         ",Fabricación de otros artículos textiles n.c.p.
CFC,1410,Industrias manufactureras,Bajo,"C         ","""""""Confección de prendas de vestir"
CFC,1420,Industrias manufactureras,Bajo,"C         ",Fabricación de artículos de piel
CFC,1430,Industrias manufactureras,Bajo,"C         ",Fabricación de artículos de punto y ganchillo
CFC,1511,Industrias manufactureras,Bajo,"C         ",Curtido y recurtido de cueros; recurtido y teñido de pieles.
CFC,1512,Industrias manufactureras,Bajo,"C         ","""Fabricación de artículos de viaje"
CFC,1513,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de artículos de viaje"
CFC,1521,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de calzado de cuero y piel"
CFC,1522,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de otros tipos de calzado"
CFC,1523,Industrias manufactureras,Bajo,"C         ",Fabricación de partes del calzado
CFC,1610,Industrias manufactureras,Bajo,"C         ","""""""Aserrado"
CFC,1701,Industrias manufactureras,Bajo,"C         ",Fabricación de pulpas (pastas) celulósicas; papel y cartón
CFC,1702,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de papel y cartón ondulado (corrugado); fabricación de envases"
CFC,1709,Industrias manufactureras,Bajo,"C         ",Fabricación de otros artículos de papel y cartón
CFC,1811,Industrias manufactureras,Bajo,"C         ",Actividades de impresión
CFC,1812,Industrias manufactureras,Bajo,"C         ",Actividades de servicios relacionados con la impresión
CFC,1820,Industrias manufactureras,Bajo,"C         ",Producción de copias a partir de grabaciones originales
CFC,1910,Industrias manufactureras,Bajo,"C         ",Fabricación de productos de hornos de coque
