Pais,Codigo,Sectores
"CFC  ","1191      ",8560
"CFC  ","1192      ",6431
"CFC  ","1193      ",7820
"CFC  ","1194      ",6201
"CFC  ","1195      ",6202
"CFC  ","1196      ",7210
"CFC  ","1197      ",9319
"CFC  ","1198      ",2813
"CFC  ","1199      ",6629
"CFC  ","12        ",8299
"CFC  ","120       ",2100
"CFC  ","1200      ",2023
"CFC  ","1201      ",3811
"CFC  ","1202      ",4659
"CFC  ","1203      ",2100
"CFC  ","1204      ",5229
"CFC  ","1205      ",6511
"CFC  ","1206      ",6201
"CFC  ","1207      ",6494
"CFC  ","1208      ",6412
"CFC  ","1209      ",7110
"CFC  ","121       ",6621
"CFC  ","1210      ",8621
"CFC  ","1211      ",6412
"CFC  ","1212      ",4290
"CFC  ","1213      ",7210
"CFC  ","1214      ",6511
"CFC  ","1215      ",4651
"CFC  ","1216      ",8622
"CFC  ","1217      ",4664
"CFC  ","1218      ",6492
"CFC  ","1219      ",1811
"CFC  ","122       ",4773
"CFC  ","1220      ",4659
"CFC  ","1221      ",4290
"CFC  ","1222      ",3320
"CFC  ","1223      ",5229
"CFC  ","1224      ",5012
"CFC  ","1225      ",7820
"CFC  ","1226      ",7020
"CFC  ","1227      ",6412
"CFC  ","1228      ",6511
"CFC  ","1229      ",1051
"CFC  ","123       ",4761
"CFC  ","1230      ",6910
"CFC  ","1231      ",6202
"CFC  ","1232      ",8521
"CFC  ","1233      ",6412
"CFC  ","1234      ",7820
"CFC  ","1235      ",1812
"CFC  ","1236      ",7911
"CFC  ","1237      ",4321
"CFC  ","1238      ",7410
"CFC  ","1239      ",8522
"CFC  ","124       ",4111
"CFC  ","1240      ",4290
"CFC  ","1241      ",2011
"CFC  ","1242      ",6431
"CFC  ","1243      ",6810
"CFC  ","1244      ",5310
"CFC  ","1245      ",9900
"CFC  ","1246      ",1410
"CFC  ","1247      ",7020
"CFC  ","1248      ",2100
"CFC  ","1249      ",7911
"CFC  ","125       ",9499
"CFC  ","1250      ",7730
"CFC  ","1251      ",8544
"CFC  ","1252      ",8610
"CFC  ","1253      ",2910
"CFC  ","1254      ",4645
"CFC  ","1255      ",6202
"CFC  ","1256      ",2023
"CFC  ","1257      ",8512
"CFC  ","1258      ",4923
"CFC  ","1259      ",5813
"CFC  ","126       ",811
"CFC  ","1260      ",7110
"CFC  ","1261      ",4930
"CFC  ","1262      ",5210
"CFC  ","1263      ",6190
"CFC  ","1264      ",9900
"CFC  ","1265      ",910
"CFC  ","1266      ",7110
"CFC  ","1267      ",7110
"CFC  ","1268      ",4530
"CFC  ","1269      ",3110
"CFC  ","127       ",8299
"CFC  ","1270      ",6202
"CFC  ","1271      ",4741
"CFC  ","1272      ",2790
"CFC  ","1273      ",5210
"CFC  ","1274      ",5229
"CFC  ","1275      ",4620
"CFC  ","1276      ",8220
"CFC  ","1277      ",9900
"CFC  ","1278      ",7820
"CFC  ","1279      ",7020
"CFC  ","128       ",6412
"CFC  ","1280      ",8530
"CFC  ","1281      ",5611
"CFC  ","1282      ",8414
"CFC  ","1283      ",4669
"CFC  ","1284      ",6611
"CFC  ","1285      ",8544
"CFC  ","1286      ",2395
"CFC  ","1287      ",2829
"CFC  ","1288      ",1011
"CFC  ","1289      ",6612
"CFC  ","129       ",9603
"CFC  ","1290      ",2100
"CFC  ","1291      ",8414
"CFC  ","1292      ",1811
"CFC  ","1293      ",4111
"CFC  ","1294      ",8414
"CFC  ","1295      ",4511
"CFC  ","1296      ",610
"CFC  ","1297      ",1523
"CFC  ","1298      ",1011
"CFC  ","1299      ",8415
"CFC  ","13        ",6412
"CFC  ","130       ",6492
"CFC  ","1300      ",8699
"CFC  ","1301      ",6910
"CFC  ","1302      ",5210
"CFC  ","1303      ",7020
"CFC  ","1304      ",8544
"CFC  ","1305      ",4111
"CFC  ","1306      ",8220
"CFC  ","1307      ",6120
"CFC  ","1308      ",7010
"CFC  ","1309      ",610
"CFC  ","131       ",8610
