Pais,Número Préstamo,Prestamo Completo formula,Prestamo completo valor,Categoría
PAN,01-C-000482,01-C-000482,,A-1
PAN,01-C-000486,01-C-000486,,B-4
PAN,01-C-000488,01-C-000488,,B-4
PAN,01-C-000491,01-C-000491,,B-1
PAN,01-C-000498,01-C-000498,,B-1
PAN,01-C-000501,01-C-000501,,A-3
PAN,01-C-000509,01-C-000509,,B-1
PAN,01-C-000513,01-C-000513,,B-3
PAN,01-C-000516,01-C-000516,,A-1
PAN,01-C-000517,01-C-000517,,B-1
PAN,01-C-000523,01-C-000523,,B-1
PAN,01-C-000526,01-C-000526,,B-1
PAN,01-C-000529,01-C-000529,,B-3
PAN,01-C-000532,01-C-000532,,B-1
PAN,01-C-000535,01-C-000535,,B-1
PAN,01-C-000539,01-C-000539,,B-1
PAN,01-C-000549,01-C-000549,,A-1
PAN,01-C-000551,01-C-000551,,B-2
PAN,01-C-000552,01-C-000552,,B-4
PAN,01-C-000553,01-C-000553,,A-1
PAN,01-C-000554,01-C-000554,,A-1
PAN,01-C-000559,01-C-000559,,B-1
PAN,01-C-000562,01-C-000562,,B-2
PAN,01-C-000565,01-C-000565,,B-1
PAN,01-C-000566,01-C-000566,,B-1
PAN,01-C-000572,01-C-000572,,B-2
PAN,01-C-000576,01-C-000576,,A-1
PAN,01-C-000582,01-C-000582,,B-4
PAN,01-C-000585,01-C-000585,,B-1
PAN,01-C-000586,01-C-000586,,B-2
PAN,01-C-000591,01-C-000591,,A-1
PAN,01-C-000593,01-C-000593,,B-4
PAN,01-C-000595,01-C-000595,,B-1
PAN,01-C-000597,01-C-000597,,B-1
PAN,01-C-000600,01-C-000600,,B-2
PAN,01-C-000601,01-C-000601,,B-1
PAN,01-C-000604,01-C-000604,,B-1
PAN,01-C-000607,01-C-000607,,A-1
PAN,01-C-000614,01-C-000614,,A-1
PAN,01-C-000617,01-C-000617,,B-1
PAN,01-C-000619,01-C-000619,,B-1
PAN,01-C-000620,01-C-000620,,B-1
PAN,01-C-000621,01-C-000621,,A-1
PAN,01-C-000624,01-C-000624,,B-2
PAN,01-C-000630,01-C-000630,,B-4
PAN,01-C-000633,01-C-000633,,B-1
PAN,01-C-000635,01-C-000635,,B-1
PAN,01-C-000637,01-C-000637,,B-4
PAN,01-C-000638,01-C-000638,,B-1
PAN,01-C-000644,01-C-000644,,A-1
PAN,01-C-000645,01-C-000645,,A-1
PAN,01-C-000646,01-C-000646,,B-1
PAN,01-C-000650,01-C-000650,,A-1
PAN,01-C-000655,01-C-000655,,B-4
PAN,01-C-000658,01-C-000658,,B-4
PAN,01-C-000659,01-C-000659,,B-4
PAN,01-C-000661,01-C-000661,,B-1
PAN,01-C-000666,01-C-000666,,B-4
PAN,01-C-000668,01-C-000668,,A-1
PAN,01-C-000673,01-C-000673,,B-1
PAN,01-C-000675,01-C-000675,,B-1
PAN,01-C-000676,01-C-000676,,B-3
PAN,01-C-000677,01-C-000677,,B-1
PAN,01-C-000678,01-C-000678,,B-1
PAN,01-C-000680,01-C-000680,,B-4
