Pais,Número Préstamo,Prestamo Completo formula,Prestamo completo valor,Categoría
PAN,02-P-009245,02-P-009245,,B-4
PAN,02-P-009254,02-P-009254,,A-1
PAN,02-P-009259,02-P-009259,,B-1
PAN,02-P-009263,02-P-009263,,B-1
PAN,02-P-009264,02-P-009264,,B-1
PAN,02-P-009265,02-P-009265,,B-4
PAN,02-P-009269,02-P-009269,,B-1
PAN,02-P-009270,02-P-009270,,B-3
PAN,02-P-009272,02-P-009272,,A-1
PAN,02-P-009273,02-P-009273,,A-1
PAN,02-P-009277,02-P-009277,,B-1
PAN,02-P-009281,02-P-009281,,B-3
PAN,02-P-009284,02-P-009284,,A-1
PAN,02-P-009285,02-P-009285,,B-2
PAN,02-P-009291,02-P-009291,,B-4
PAN,02-P-009292,02-P-009292,,A-1
PAN,02-P-009293,02-P-009293,,B-1
PAN,02-P-009295,02-P-009295,,B-1
PAN,02-P-009296,02-P-009296,,B-4
PAN,02-P-009300,02-P-009300,,A-1
PAN,02-P-009308,02-P-009308,,B-1
PAN,02-P-009311,02-P-009311,,B-1
PAN,02-P-009316,02-P-009316,,B-1
PAN,02-P-009321,02-P-009321,,A-1
PAN,02-P-009324,02-P-009324,,B-2
PAN,02-P-009327,02-P-009327,,B-1
PAN,02-P-009328,02-P-009328,,B-2
PAN,02-P-009329,02-P-009329,,B-1
PAN,02-P-009330,02-P-009330,,B-4
PAN,02-P-009334,02-P-009334,,B-4
PAN,02-P-009335,02-P-009335,,A-1
PAN,02-P-009338,02-P-009338,,B-5
PAN,02-P-009342,02-P-009342,,A-1
PAN,02-P-009343,02-P-009343,,A-1
PAN,02-P-009344,02-P-009344,,A-1
PAN,02-P-009346,02-P-009346,,A-1
PAN,02-P-009347,02-P-009347,,B-1
PAN,02-P-009348,02-P-009348,,B-3
PAN,02-P-009350,02-P-009350,,B-2
PAN,02-P-009351,02-P-009351,,A-1
PAN,02-P-009352,02-P-009352,,A-1
PAN,02-P-009358,02-P-009358,,B-4
PAN,02-P-009359,02-P-009359,,B-2
PAN,02-P-009362,02-P-009362,,A-3
PAN,02-P-009363,02-P-009363,,A-3
PAN,02-P-009364,02-P-009364,,B-4
PAN,02-P-009371,02-P-009371,,B-2
PAN,02-P-009373,02-P-009373,,B-4
PAN,02-P-009374,02-P-009374,,A-1
PAN,02-P-009376,02-P-009376,,B-1
PAN,02-P-009378,02-P-009378,,B-1
PAN,02-P-009385,02-P-009385,,B-1
PAN,02-P-009389,02-P-009389,,B-3
PAN,02-P-009393,02-P-009393,,B-2
PAN,02-P-009394,02-P-009394,,B-2
PAN,02-P-009398,02-P-009398,,B-2
PAN,02-P-009401,02-P-009401,,A-1
PAN,02-P-009404,02-P-009404,,B-1
PAN,02-P-009407,02-P-009407,,A-1
PAN,02-P-009409,02-P-009409,,A-1
PAN,02-P-009410,02-P-009410,,B-2
PAN,02-P-009414,02-P-009414,,B-4
PAN,02-P-009415,02-P-009415,,B-3
PAN,02-P-009417,02-P-009417,,A-1
PAN,02-P-009418,02-P-009418,,A-1
PAN,02-P-009420,02-P-009420,,A-1
PAN,02-P-009421,02-P-009421,,B-4
PAN,02-P-009422,02-P-009422,,B-1
PAN,02-P-009423,02-P-009423,,B-3
PAN,02-P-009425,02-P-009425,,B-1
PAN,02-P-009427,02-P-009427,,B-1
PAN,02-P-009431,02-P-009431,,B-1
PAN,02-P-009432,02-P-009432,,A-1
PAN,02-P-009433,02-P-009433,,A-1
PAN,02-P-009434,02-P-009434,,A-1
PAN,02-P-009435,02-P-009435,,A-1
PAN,02-P-009438,02-P-009438,,A-1
PAN,02-P-009439,02-P-009439,,B-1
PAN,02-P-009440,02-P-009440,,B-1
PAN,02-P-009443,02-P-009443,,B-5
PAN,02-P-009444,02-P-009444,,B-1
PAN,02-P-009448,02-P-009448,,B-1
PAN,02-P-009450,02-P-009450,,B-1
PAN,02-P-009451,02-P-009451,,B-4
PAN,02-P-009452,02-P-009452,,A-1
PAN,02-P-009455,02-P-009455,,B-1
PAN,02-P-009456,02-P-009456,,B-4
PAN,02-P-009458,02-P-009458,,B-1
PAN,02-P-009464,02-P-009464,,B-4
PAN,02-P-009465,02-P-009465,,B-2
PAN,02-P-009472,02-P-009472,,A-1
PAN,02-P-009474,02-P-009474,,B-1
PAN,02-P-009475,02-P-009475,,B-1
PAN,02-P-009478,02-P-009478,,A-1
PAN,02-P-009479,02-P-009479,,B-4
PAN,02-P-009480,02-P-009480,,B-3
PAN,02-P-009481,02-P-009481,,B-2
PAN,02-P-009482,02-P-009482,,A-1
PAN,02-P-009486,02-P-009486,,B-3
PAN,02-P-009488,02-P-009488,,B-4
PAN,02-P-009490,02-P-009490,,A-3
PAN,02-P-009491,02-P-009491,,B-4
PAN,02-P-009496,02-P-009496,,B-4
PAN,02-P-009497,02-P-009497,,B-3
PAN,02-P-009498,02-P-009498,,B-2
PAN,02-P-009500,02-P-009500,,A-1
PAN,02-P-009501,02-P-009501,,A-1
PAN,02-P-009503,02-P-009503,,B-1
PAN,02-P-009504,02-P-009504,,B-2
PAN,02-P-009506,02-P-009506,,B-1
PAN,02-P-009510,02-P-009510,,A-1
PAN,02-P-009511,02-P-009511,,A-1
PAN,02-P-009512,02-P-009512,,B-2
PAN,02-P-009513,02-P-009513,,B-4
PAN,02-P-009516,02-P-009516,,B-4
PAN,02-P-009518,02-P-009518,,A-1
PAN,02-P-009520,02-P-009520,,A-1
PAN,02-P-009522,02-P-009522,,A-1
PAN,02-P-009523,02-P-009523,,B-1
PAN,02-P-009524,02-P-009524,,A-1
PAN,02-P-009528,02-P-009528,,B-1
PAN,02-P-009532,02-P-009532,,A-1
PAN,02-P-009533,02-P-009533,,B-1
PAN,02-P-009534,02-P-009534,,B-2
PAN,02-P-009537,02-P-009537,,A-1
PAN,02-P-009543,02-P-009543,,B-2
PAN,02-P-009544,02-P-009544,,B-1
PAN,02-P-009546,02-P-009546,,A-1
PAN,02-P-009547,02-P-009547,,A-1
PAN,02-P-009549,02-P-009549,,B-2
PAN,02-P-009552,02-P-009552,,B-2
PAN,02-P-009554,02-P-009554,,A-1
PAN,02-P-009556,02-P-009556,,B-4
PAN,02-P-009557,02-P-009557,,B-2
PAN,02-P-009562,02-P-009562,,B-1
PAN,02-P-009567,02-P-009567,,B-1
PAN,02-P-009568,02-P-009568,,A-1
PAN,02-P-009572,02-P-009572,,B-2
PAN,02-P-009574,02-P-009574,,B-1
PAN,02-P-009576,02-P-009576,,B-1
PAN,02-P-009580,02-P-009580,,A-1
PAN,02-P-009581,02-P-009581,,A-1
PAN,02-P-009589,02-P-009589,,B-2
PAN,02-P-009598,02-P-009598,,A-1
PAN,02-P-009602,02-P-009602,,B-1
PAN,02-P-009604,02-P-009604,,B-2
PAN,02-P-009606,02-P-009606,,A-1
PAN,02-P-009607,02-P-009607,,A-1
PAN,02-P-009615,02-P-009615,,B-1
PAN,02-P-009618,02-P-009618,,B-2
PAN,02-P-009620,02-P-009620,,B-2
PAN,02-P-009621,02-P-009621,,A-1
PAN,02-P-009622,02-P-009622,,B-1
PAN,02-P-009623,02-P-009623,,B-2
PAN,02-P-009624,02-P-009624,,A-1
PAN,02-P-009629,02-P-009629,,A-1
PAN,02-P-009630,02-P-009630,,B-1
PAN,02-P-009639,02-P-009639,,A-3
PAN,02-P-009641,02-P-009641,,A-1
PAN,02-P-009642,02-P-009642,,B-5
PAN,02-P-009648,02-P-009648,,B-4
PAN,02-P-009653,02-P-009653,,B-1
PAN,02-P-009654,02-P-009654,,A-1
PAN,02-P-009657,02-P-009657,,A-1
PAN,02-P-009660,02-P-009660,,B-1
PAN,02-P-009661,02-P-009661,,A-1
PAN,02-P-009666,02-P-009666,,A-1
PAN,02-P-009667,02-P-009667,,A-1
PAN,02-P-009670,02-P-009670,,B-1
PAN,02-P-009672,02-P-009672,,A-1
PAN,02-P-009673,02-P-009673,,B-1
PAN,02-P-009682,02-P-009682,,B-1
PAN,02-P-009685,02-P-009685,,B-1
PAN,02-P-009689,02-P-009689,,B-2
PAN,02-P-009691,02-P-009691,,A-1
PAN,02-P-009696,02-P-009696,,B-2
PAN,02-P-009697,02-P-009697,,A-1
PAN,02-P-009699,02-P-009699,,B-2
PAN,02-P-009700,02-P-009700,,B-4
PAN,02-P-009701,02-P-009701,,B-1
PAN,02-P-009708,02-P-009708,,B-2
PAN,02-P-009710,02-P-009710,,B-1
PAN,02-P-009714,02-P-009714,,B-1
PAN,02-P-009715,02-P-009715,,A-1
PAN,02-P-009716,02-P-009716,,B-1
PAN,02-P-009717,02-P-009717,,A-1
PAN,02-P-009719,02-P-009719,,B-4
PAN,02-P-009721,02-P-009721,,B-4
PAN,02-P-009723,02-P-009723,,A-1
PAN,02-P-009727,02-P-009727,,B-2
PAN,02-P-009728,02-P-009728,,A-1
PAN,02-P-009730,02-P-009730,,A-1
PAN,02-P-009731,02-P-009731,,A-1
PAN,02-P-009734,02-P-009734,,B-1
PAN,02-P-009735,02-P-009735,,B-4
PAN,02-P-009739,02-P-009739,,B-2
PAN,02-P-009740,02-P-009740,,B-1
PAN,02-P-009741,02-P-009741,,A-1
PAN,02-P-009742,02-P-009742,,B-1
PAN,02-P-009743,02-P-009743,,B-2
PAN,02-P-009745,02-P-009745,,B-4
PAN,02-P-009747,02-P-009747,,B-1
PAN,02-P-009748,02-P-009748,,B-1
PAN,02-P-009752,02-P-009752,,B-1
PAN,02-P-009757,02-P-009757,,A-3
PAN,02-P-009765,02-P-009765,,A-1
PAN,02-P-009772,02-P-009772,,B-1
PAN,02-P-009774,02-P-009774,,B-1
PAN,02-P-009777,02-P-009777,,B-1
PAN,02-P-009778,02-P-009778,,B-1
PAN,02-P-009779,02-P-009779,,B-2
PAN,02-P-009781,02-P-009781,,B-1
PAN,02-P-009783,02-P-009783,,A-1
PAN,02-P-009790,02-P-009790,,B-1
PAN,02-P-009793,02-P-009793,,B-1
PAN,02-P-009794,02-P-009794,,A-1
PAN,02-P-009795,02-P-009795,,A-3
PAN,02-P-009797,02-P-009797,,A-1
PAN,02-P-009801,02-P-009801,,B-5
PAN,02-P-009802,02-P-009802,,A-1
PAN,02-P-009805,02-P-009805,,B-2
PAN,02-P-009806,02-P-009806,,A-1
PAN,02-P-009811,02-P-009811,,B-3
PAN,02-P-009816,02-P-009816,,A-1
PAN,02-P-009818,02-P-009818,,A-1
PAN,02-P-009821,02-P-009821,,B-1
PAN,02-P-009822,02-P-009822,,B-3
PAN,02-P-009823,02-P-009823,,B-2
PAN,02-P-009824,02-P-009824,,B-2
PAN,02-P-009827,02-P-009827,,B-2
PAN,02-P-009829,02-P-009829,,B-1
PAN,02-P-009830,02-P-009830,,A-1
PAN,02-P-009831,02-P-009831,,A-1
PAN,02-P-009833,02-P-009833,,B-4
PAN,02-P-009836,02-P-009836,,B-1
PAN,02-P-009838,02-P-009838,,B-2
PAN,02-P-009840,02-P-009840,,B-1
PAN,02-P-009842,02-P-009842,,B-2
PAN,02-P-009846,02-P-009846,,B-4
PAN,02-P-009847,02-P-009847,,A-1
PAN,02-P-009848,02-P-009848,,B-4
PAN,02-P-009849,02-P-009849,,B-4
PAN,02-P-009851,02-P-009851,,B-1
PAN,02-P-009854,02-P-009854,,B-1
PAN,02-P-009857,02-P-009857,,B-1
PAN,02-P-009862,02-P-009862,,B-4
PAN,02-P-009863,02-P-009863,,B-4
PAN,02-P-009864,02-P-009864,,B-1
PAN,02-P-009865,02-P-009865,,B-2
PAN,02-P-009867,02-P-009867,,B-1
PAN,02-P-009868,02-P-009868,,B-2
PAN,02-P-009872,02-P-009872,,B-4
PAN,02-P-009873,02-P-009873,,B-1
PAN,02-P-009874,02-P-009874,,A-3
PAN,02-P-009876,02-P-009876,,B-1
PAN,02-P-009878,02-P-009878,,A-1
PAN,02-P-009881,02-P-009881,,A-1
PAN,02-P-009882,02-P-009882,,B-1
PAN,02-P-009884,02-P-009884,,B-1
PAN,02-P-009890,02-P-009890,,B-2
PAN,02-P-009895,02-P-009895,,A-1
PAN,02-P-009900,02-P-009900,,B-2
PAN,02-P-009901,02-P-009901,,A-1
PAN,02-P-009902,02-P-009902,,B-2
PAN,02-P-009903,02-P-009903,,B-4
PAN,02-P-009904,02-P-009904,,B-2
PAN,02-P-009905,02-P-009905,,B-1
PAN,02-P-009907,02-P-009907,,A-1
PAN,02-P-009908,02-P-009908,,B-2
PAN,02-P-009910,02-P-009910,,A-1
PAN,02-P-009914,02-P-009914,,A-1
PAN,02-P-009915,02-P-009915,,B-1
PAN,02-P-009917,02-P-009917,,B-2
PAN,02-P-009920,02-P-009920,,B-2
PAN,02-P-009922,02-P-009922,,A-1
PAN,02-P-009923,02-P-009923,,A-3
PAN,02-P-009926,02-P-009926,,B-2
PAN,02-P-009927,02-P-009927,,A-1
PAN,02-P-009930,02-P-009930,,A-1
PAN,02-P-009941,02-P-009941,,B-1
PAN,02-P-009942,02-P-009942,,A-1
PAN,02-P-009958,02-P-009958,,A-1
PAN,02-P-009959,02-P-009959,,A-1
PAN,02-P-009961,02-P-009961,,B-2
PAN,02-P-009963,02-P-009963,,B-1
PAN,02-P-009971,02-P-009971,,A-1
PAN,02-P-009972,02-P-009972,,B-4
PAN,02-P-009979,02-P-009979,,B-4
PAN,02-P-009981,02-P-009981,,A-1
PAN,02-P-009982,02-P-009982,,B-1
PAN,02-P-009983,02-P-009983,,A-1
PAN,02-P-009985,02-P-009985,,A-1
PAN,02-P-009990,02-P-009990,,B-1
PAN,02-P-009992,02-P-009992,,A-1
PAN,02-P-009995,02-P-009995,,A-1
PAN,02-P-009996,02-P-009996,,B-1
PAN,02-P-010000,02-P-010000,,A-1
PAN,02-P-010001,02-P-010001,,A-1
PAN,02-P-010003,02-P-010003,,B-2
PAN,02-P-010004,02-P-010004,,B-1
PAN,02-P-010006,02-P-010006,,B-2
PAN,02-P-010009,02-P-010009,,A-1
PAN,02-P-010012,02-P-010012,,A-1
PAN,02-P-010014,02-P-010014,,B-2
PAN,02-P-010015,02-P-010015,,B-1
PAN,02-P-010016,02-P-010016,,A-1
PAN,02-P-010017,02-P-010017,,B-1
PAN,02-P-010018,02-P-010018,,B-4
PAN,02-P-010020,02-P-010020,,B-1
PAN,02-P-010022,02-P-010022,,B-1
PAN,02-P-010025,02-P-010025,,B-1
PAN,02-P-010030,02-P-010030,,A-3
PAN,02-P-010031,02-P-010031,,B-1
PAN,02-P-010032,02-P-010032,,A-1
PAN,02-P-010033,02-P-010033,,B-3
PAN,02-P-010034,02-P-010034,,B-2
PAN,02-P-010038,02-P-010038,,B-4
PAN,02-P-010040,02-P-010040,,A-1
PAN,02-P-010043,02-P-010043,,B-1
PAN,02-P-010045,02-P-010045,,B-1
PAN,02-P-010046,02-P-010046,,B-4
PAN,02-P-010053,02-P-010053,,B-2
PAN,02-P-010054,02-P-010054,,B-2
PAN,02-P-010055,02-P-010055,,A-3
PAN,02-P-010057,02-P-010057,,B-2
PAN,02-P-010058,02-P-010058,,B-4
PAN,02-P-010062,02-P-010062,,B-1
PAN,02-P-010066,02-P-010066,,A-1
PAN,02-P-010068,02-P-010068,,B-1
PAN,02-P-010073,02-P-010073,,A-1
PAN,02-P-010076,02-P-010076,,A-1
PAN,02-P-010078,02-P-010078,,B-2
PAN,02-P-010079,02-P-010079,,B-2
PAN,02-P-010082,02-P-010082,,B-4
PAN,02-P-010083,02-P-010083,,A-1
PAN,02-P-010086,02-P-010086,,B-1
PAN,02-P-010087,02-P-010087,,B-4
PAN,02-P-010091,02-P-010091,,B-1
PAN,02-P-010093,02-P-010093,,A-1
PAN,02-P-010095,02-P-010095,,B-1
PAN,02-P-010100,02-P-010100,,A-1
PAN,02-P-010103,02-P-010103,,B-1
PAN,02-P-010105,02-P-010105,,B-1
PAN,02-P-010107,02-P-010107,,B-1
PAN,02-P-010109,02-P-010109,,B-1
PAN,02-P-010111,02-P-010111,,B-4
PAN,02-P-010113,02-P-010113,,B-1
PAN,02-P-010114,02-P-010114,,B-2
PAN,02-P-010118,02-P-010118,,A-1
PAN,02-P-010120,02-P-010120,,A-1
PAN,02-P-010121,02-P-010121,,A-1
PAN,02-P-010129,02-P-010129,,A-1
PAN,02-P-010130,02-P-010130,,A-1
PAN,02-P-010136,02-P-010136,,B-5
PAN,02-P-010140,02-P-010140,,B-1
PAN,02-P-010145,02-P-010145,,A-1
PAN,02-P-010146,02-P-010146,,B-4
PAN,02-P-010149,02-P-010149,,B-1
PAN,02-P-010156,02-P-010156,,B-1
PAN,02-P-010157,02-P-010157,,B-1
PAN,02-P-010162,02-P-010162,,B-1
PAN,02-P-010165,02-P-010165,,B-1
PAN,02-P-010167,02-P-010167,,B-1
PAN,02-P-010168,02-P-010168,,B-2
PAN,02-P-010171,02-P-010171,,A-3
PAN,02-P-010172,02-P-010172,,B-1
PAN,02-P-010173,02-P-010173,,A-1
PAN,02-P-010178,02-P-010178,,B-1
PAN,02-P-010179,02-P-010179,,B-1
PAN,02-P-010180,02-P-010180,,B-1
PAN,02-P-010189,02-P-010189,,A-1
PAN,02-P-010191,02-P-010191,,B-1
PAN,02-P-010196,02-P-010196,,A-1
PAN,02-P-010197,02-P-010197,,A-1
PAN,02-P-010198,02-P-010198,,B-2
PAN,02-P-010200,02-P-010200,,B-1
PAN,02-P-010201,02-P-010201,,A-1
PAN,02-P-010203,02-P-010203,,A-1
PAN,02-P-010205,02-P-010205,,B-2
PAN,02-P-010209,02-P-010209,,B-4
PAN,02-P-010213,02-P-010213,,B-4
PAN,02-P-010219,02-P-010219,,B-4
PAN,02-P-010222,02-P-010222,,B-2
PAN,02-P-010228,02-P-010228,,B-2
PAN,02-P-010229,02-P-010229,,B-2
PAN,02-P-010231,02-P-010231,,B-4
PAN,02-P-010233,02-P-010233,,A-1
PAN,02-P-010234,02-P-010234,,B-3
PAN,02-P-010239,02-P-010239,,B-1
PAN,02-P-010244,02-P-010244,,A-1
PAN,02-P-010247,02-P-010247,,B-4
PAN,02-P-010250,02-P-010250,,A-3
PAN,02-P-010251,02-P-010251,,B-4
PAN,02-P-010254,02-P-010254,,B-2
PAN,02-P-010255,02-P-010255,,B-4
PAN,02-P-010256,02-P-010256,,A-1
PAN,02-P-010259,02-P-010259,,B-2
PAN,02-P-010260,02-P-010260,,A-1
PAN,02-P-010261,02-P-010261,,B-4
PAN,02-P-010262,02-P-010262,,B-4
PAN,02-P-010264,02-P-010264,,B-1
PAN,02-P-010266,02-P-010266,,B-1
PAN,02-P-010268,02-P-010268,,A-1
PAN,02-P-010269,02-P-010269,,B-1
PAN,02-P-010270,02-P-010270,,B-1
PAN,02-P-010272,02-P-010272,,A-1
PAN,02-P-010273,02-P-010273,,B-4
PAN,02-P-010275,02-P-010275,,A-1
PAN,02-P-010276,02-P-010276,,A-1
PAN,02-P-010277,02-P-010277,,B-1
PAN,02-P-010278,02-P-010278,,B-1
PAN,02-P-010279,02-P-010279,,A-1
PAN,02-P-010280,02-P-010280,,A-1
PAN,02-P-010286,02-P-010286,,A-1
PAN,02-P-010291,02-P-010291,,B-4
PAN,02-P-010294,02-P-010294,,B-1
PAN,02-P-010299,02-P-010299,,B-1
PAN,02-P-010301,02-P-010301,,B-2
PAN,02-P-010306,02-P-010306,,B-1
PAN,02-P-010307,02-P-010307,,A-1
PAN,02-P-010311,02-P-010311,,B-4
PAN,02-P-010313,02-P-010313,,B-4
PAN,02-P-010319,02-P-010319,,B-2
PAN,02-P-010320,02-P-010320,,B-3
PAN,02-P-010323,02-P-010323,,B-4
PAN,02-P-010325,02-P-010325,,B-2
PAN,02-P-010330,02-P-010330,,B-4
PAN,02-P-010331,02-P-010331,,A-1
PAN,02-P-010333,02-P-010333,,B-1
PAN,02-P-010334,02-P-010334,,B-2
PAN,02-P-010338,02-P-010338,,B-2
PAN,02-P-010339,02-P-010339,,B-2
PAN,02-P-010340,02-P-010340,,A-1
PAN,02-P-010341,02-P-010341,,B-1
PAN,02-P-010345,02-P-010345,,A-1
PAN,02-P-010346,02-P-010346,,A-1
PAN,02-P-010347,02-P-010347,,A-1
PAN,02-P-010349,02-P-010349,,A-1
PAN,02-P-010354,02-P-010354,,B-1
PAN,02-P-010355,02-P-010355,,B-4
PAN,02-P-010356,02-P-010356,,A-3
PAN,02-P-010358,02-P-010358,,B-4
PAN,02-P-010361,02-P-010361,,B-1
PAN,02-P-010364,02-P-010364,,B-1
PAN,02-P-010367,02-P-010367,,A-3
PAN,02-P-010370,02-P-010370,,A-1
PAN,02-P-010375,02-P-010375,,B-1
PAN,02-P-010376,02-P-010376,,A-1
PAN,02-P-010377,02-P-010377,,B-4
PAN,02-P-010378,02-P-010378,,B-1
PAN,02-P-010381,02-P-010381,,A-1
PAN,02-P-010382,02-P-010382,,A-1
PAN,02-P-010384,02-P-010384,,B-4
PAN,02-P-010388,02-P-010388,,B-2
PAN,02-P-010389,02-P-010389,,A-3
PAN,02-P-010390,02-P-010390,,B-1
PAN,02-P-010392,02-P-010392,,A-1
PAN,02-P-010395,02-P-010395,,A-3
PAN,02-P-010396,02-P-010396,,A-1
PAN,02-P-010397,02-P-010397,,B-4
PAN,02-P-010399,02-P-010399,,A-1
PAN,02-P-010400,02-P-010400,,B-4
PAN,02-P-010401,02-P-010401,,B-1
PAN,02-P-010405,02-P-010405,,A-1
PAN,02-P-010407,02-P-010407,,B-1
PAN,02-P-010408,02-P-010408,,B-2
PAN,02-P-010411,02-P-010411,,A-1
PAN,02-P-010413,02-P-010413,,A-1
PAN,02-P-010415,02-P-010415,,B-1
PAN,02-P-010416,02-P-010416,,A-1
PAN,02-P-010418,02-P-010418,,A-3
PAN,02-P-010421,02-P-010421,,B-2
PAN,02-P-010422,02-P-010422,,A-1
PAN,02-P-010427,02-P-010427,,B-2
PAN,02-P-010431,02-P-010431,,B-1
PAN,02-P-010432,02-P-010432,,A-1
PAN,02-P-010434,02-P-010434,,A-1
PAN,02-P-010438,02-P-010438,,B-4
PAN,02-P-010442,02-P-010442,,B-3
PAN,02-P-010444,02-P-010444,,B-1
PAN,02-P-010448,02-P-010448,,B-1
PAN,02-P-010453,02-P-010453,,A-1
PAN,02-P-010455,02-P-010455,,B-1
PAN,02-P-010456,02-P-010456,,B-4
PAN,02-P-010457,02-P-010457,,B-1
PAN,02-P-010458,02-P-010458,,B-2
PAN,02-P-010460,02-P-010460,,B-3
PAN,02-P-010462,02-P-010462,,A-1
PAN,02-P-010463,02-P-010463,,A-1
PAN,02-P-010465,02-P-010465,,B-4
PAN,02-P-010466,02-P-010466,,B-1
PAN,02-P-010467,02-P-010467,,A-1
PAN,02-P-010468,02-P-010468,,A-1
PAN,02-P-010469,02-P-010469,,B-1
PAN,02-P-010470,02-P-010470,,A-1
PAN,02-P-010474,02-P-010474,,B-2
PAN,02-P-010475,02-P-010475,,B-1
PAN,02-P-010478,02-P-010478,,B-3
PAN,02-P-010479,02-P-010479,,A-1
PAN,02-P-010481,02-P-010481,,B-2
PAN,02-P-010483,02-P-010483,,A-1
PAN,02-P-010484,02-P-010484,,A-1
PAN,02-P-010487,02-P-010487,,A-1
PAN,02-P-010488,02-P-010488,,A-1
PAN,02-P-010489,02-P-010489,,B-3
PAN,02-P-010490,02-P-010490,,B-1
PAN,02-P-010493,02-P-010493,,B-1
PAN,02-P-010495,02-P-010495,,A-1
PAN,02-P-010499,02-P-010499,,B-2
PAN,02-P-010502,02-P-010502,,B-2
PAN,02-P-010503,02-P-010503,,A-1
PAN,02-P-010504,02-P-010504,,A-1
PAN,02-P-010507,02-P-010507,,B-4
PAN,02-P-010509,02-P-010509,,B-1
PAN,02-P-010511,02-P-010511,,A-1
PAN,02-P-010518,02-P-010518,,A-1
PAN,02-P-010520,02-P-010520,,A-1
PAN,02-P-010522,02-P-010522,,B-1
PAN,02-P-010525,02-P-010525,,B-2
PAN,02-P-010527,02-P-010527,,B-1
PAN,02-P-010529,02-P-010529,,B-1
PAN,02-P-010531,02-P-010531,,A-1
PAN,02-P-010532,02-P-010532,,A-1
PAN,02-P-010533,02-P-010533,,B-4
PAN,02-P-010535,02-P-010535,,B-2
PAN,02-P-010537,02-P-010537,,A-1
PAN,02-P-010541,02-P-010541,,A-1
PAN,02-P-010544,02-P-010544,,A-1
PAN,02-P-010547,02-P-010547,,B-2
PAN,02-P-010549,02-P-010549,,B-1
PAN,02-P-010551,02-P-010551,,B-1
PAN,02-P-010552,02-P-010552,,B-1
PAN,02-P-010554,02-P-010554,,B-1
PAN,02-P-010555,02-P-010555,,A-1
PAN,02-P-010557,02-P-010557,,B-1
PAN,02-P-010564,02-P-010564,,B-4
PAN,02-P-010565,02-P-010565,,A-1
PAN,02-P-010566,02-P-010566,,B-1
PAN,02-P-010570,02-P-010570,,B-2
PAN,02-P-010571,02-P-010571,,B-4
PAN,02-P-010583,02-P-010583,,B-2
PAN,02-P-010584,02-P-010584,,B-1
PAN,02-P-010590,02-P-010590,,B-3
PAN,02-P-010593,02-P-010593,,B-1
PAN,02-P-010594,02-P-010594,,A-1
PAN,02-P-010596,02-P-010596,,B-2
PAN,02-P-010605,02-P-010605,,B-1
PAN,02-P-010606,02-P-010606,,A-1
PAN,02-P-010609,02-P-010609,,B-1
PAN,02-P-010613,02-P-010613,,B-2
PAN,02-P-010616,02-P-010616,,B-2
PAN,02-P-010617,02-P-010617,,B-1
PAN,02-P-010618,02-P-010618,,A-1
PAN,02-P-010619,02-P-010619,,B-3
PAN,02-P-010624,02-P-010624,,B-1
PAN,02-P-010626,02-P-010626,,A-1
PAN,02-P-010627,02-P-010627,,B-1
PAN,02-P-010628,02-P-010628,,B-1
PAN,02-P-010630,02-P-010630,,A-1
PAN,02-P-010631,02-P-010631,,B-1
PAN,02-P-010632,02-P-010632,,B-4
PAN,02-P-010635,02-P-010635,,B-4
PAN,02-P-010636,02-P-010636,,A-3
PAN,02-P-010637,02-P-010637,,B-1
PAN,02-P-010638,02-P-010638,,A-1
PAN,02-P-010640,02-P-010640,,A-1
PAN,02-P-010645,02-P-010645,,B-4
PAN,02-P-010647,02-P-010647,,B-1
PAN,02-P-010651,02-P-010651,,B-1
PAN,02-P-010652,02-P-010652,,B-3
PAN,02-P-010655,02-P-010655,,A-1
PAN,02-P-010659,02-P-010659,,A-1
PAN,02-P-010660,02-P-010660,,B-1
PAN,02-P-010661,02-P-010661,,B-1
PAN,02-P-010662,02-P-010662,,B-4
PAN,02-P-010663,02-P-010663,,A-1
PAN,02-P-010670,02-P-010670,,A-1
PAN,02-P-010674,02-P-010674,,B-1
PAN,02-P-010675,02-P-010675,,A-3
PAN,02-P-010677,02-P-010677,,B-1
PAN,02-P-010678,02-P-010678,,A-1
PAN,02-P-010679,02-P-010679,,B-1
PAN,02-P-010680,02-P-010680,,B-4
PAN,02-P-010682,02-P-010682,,A-1
PAN,02-P-010685,02-P-010685,,B-3
PAN,02-P-010686,02-P-010686,,A-1
PAN,02-P-010689,02-P-010689,,A-1
PAN,02-P-010690,02-P-010690,,B-2
PAN,02-P-010691,02-P-010691,,B-2
PAN,02-P-010692,02-P-010692,,B-1
PAN,02-P-010694,02-P-010694,,B-4
PAN,02-P-010695,02-P-010695,,B-1
PAN,02-P-010696,02-P-010696,,B-1
PAN,02-P-010697,02-P-010697,,A-1
PAN,02-P-010698,02-P-010698,,A-3
PAN,02-P-010699,02-P-010699,,A-1
PAN,02-P-010707,02-P-010707,,A-1
PAN,02-P-010716,02-P-010716,,B-2
PAN,02-P-010722,02-P-010722,,B-1
PAN,02-P-010725,02-P-010725,,A-1
PAN,02-P-010726,02-P-010726,,B-1
PAN,02-P-010728,02-P-010728,,A-1
PAN,02-P-010733,02-P-010733,,B-1
PAN,02-P-010736,02-P-010736,,B-1
PAN,02-P-010738,02-P-010738,,B-4
PAN,02-P-010741,02-P-010741,,B-4
PAN,02-P-010745,02-P-010745,,B-1
