Galdakao;101.64;117.1;98.47;105;100.78
Galdames;75.02;67.99;75.27;80.1;81.22
Gamiz-Fika;65.64;63.85;59.98;66.89;65.91
Garai;79.61;78.73;74.95;73.82;104.03
Gatika;104.96;105.86;102.8;95.39;83.16
Gautegiz Arteaga;106.72;103.89;96.19;107.52;114.02
Gaztelu;56.57;37.01;49.55;40.11;68.67
Gernika-Lumo;94.46;90.53;95.68;89.21;92.54
Getaria;104.34;110.66;85.46;99.15;86.85
Getxo;108.77;108;94.39;96.18;110.4
Gizaburuaga;68.06;81.55;51.71;72.91;55.73
Gordexola;83.4;72.73;77.01;95.28;85.94
Gorliz;135.76;130.79;138.79;121.27;135.14
Güeñes;123.43;99.53;123.66;158.46;121.01
Harana/Valle de Arana;65.23;69.89;59.24;61.75;73.28
Hernani;104.27;108.51;111.09;109.3;108.46
Hernialde;69.41;57.09;60.63;56.87;75.28
Hondarribia;103.2;105.97;98.74;98.39;113.21
Ibarra;100.88;89.03;82.77;97.9;110.62
Ibarrangelu;122.35;112.33;111.36;101.36;123.35
Idiazabal;103.93;116.35;132.57;121.69;112.56
Igorre;100.98;118.32;102.44;109.07;103.19
Ikaztegieta;101.08;100.21;92.71;102.85;100.19
Irun;100.76;96.82;89.78;91.83;101.81
Irura;145.88;149.58;169.82;137.32;106.77
Iruraiz-Gauna;87.86;69.81;68.49;76.22;89.23
Iruña Oka/Iruña de Oca;99.38;85.01;113.31;113.77;132.19
Ispaster;86.75;75.94;79.82;88.89;67.28
Itsasondo;94.4;98.51;94.54;107.68;134.25
Iurreta;121.03;95.88;119.43;117.07;102.14
Izurtza;96.09;95.07;93.03;97.06;109.54
Karrantza Harana/Valle de Carranza;55.12;69.84;77.55;63.56;72.25
Kortezubi;96.69;93.96;94.93;77.44;57.72
Kripan;62.55;58.36;94.82;87.2;118.41
Kuartango;99.62;78;90.72;77.4;86.56
Labastida/Bastida;121.93;116.1;128.19;114.56;123.84
Lagrán;74.36;70.18;65.07;63.67;85.84
Laguardia;99.91;97.65;107.25;97.31;109.67
Lanciego/Lantziego;106.23;109.81;109.17;108.27;116.8
Lanestosa;65.69;158.37;70.82;80.16;105.31
Lantarón;110.81;110.56;122.57;135.56;123.03
Lapuebla de Labarca;91.47;89.9;102.8;107.61;84.43
Larrabetzu;91.2;73.66;94.37;97.86;78.41
Larraul;57.46;53.97;68.18;98.79;65.76
Lasarte-Oria;108.84;113.99;94.78;92.41;109.15
Laudio/Llodio;103.22;96.6;108.94;102.51;107.67
Laukiz;108.58;116.26;89.01;69.9;98.25
Lazkao;108.63;90.63;99.24;99.86;102.55
Leaburu;97.61;87.15;77.34;64.25;92.89
Legazpi;102.64;96.82;103.48;106.71;106.56
Legorreta;107.75;106.1;110.76;123.86;118.04
Legutio;105.65;100.26;110.83;113.26;96.52
Leintz-Gatzaga;81.09;72.19;71.2;69.34;66.16
Leioa;101.48;106.56;90.08;93.49;102.96
Lekeitio;109.16;100.62;100.45;101.87;107.09
Lemoa;80.16;101.49;113.02;122.79;105.42
Lemoiz;103.28;198.16;166.35;135.87;117.12
Leza;80.89;100.93;107.39;131;207.66
Lezama;162.79;137.71;81.5;89.68;95.46
Lezo;94.26;87.53;84.96;81.11;89.87
Lizartza;86.31;85.86;71.12;71.4;72.97
Loiu;113.75;116.37;93.99;89.61;90.86
Mallabia;92.78;93.9;84.06;95.83;78.47
Markina-Xemein;76.78;72.17;83.85;80.28;91.24
Maruri-Jatabe;99.57;91.51;158.6;78.21;97.48
Mañaria;92.54;137.98;209.88;185.89;132.93
Mendaro;98.27;98.23;137.1;152.78;173.81
Mendata;92.18;84.19;62.87;73.26;63.09
Mendexa;94.42;95.19;89.49;77.74;72.33
Meñaka;113.76;108.93;98.59;75.22;60.16
Moreda de Álava / Moreda Araba;71.13;68.18;102.32;103.15;131.46
Morga;81.98;68.61;63.42;59.64;64.08
Mundaka;167.65;136.33;128.18;97.19;103.49
Mungia;98.1;108.95;98.69;93.63;93.71
Munitibar-Arbatzegi Gerrikaitz-;76.23;87.2;131.49;125.54;116.53
Murueta;141.12;144.99;117.92;102.39;88.66
Muskiz;100.44;180.68;156.88;406.05;384.51
Mutiloa;74.39;87.36;62.4;119.1;68.41
Mutriku;78.55;80.83;106.7;87.6;93.79
Muxika;87.44;97.13;91.92;90.47;91.82
Nabarniz;82.96;95.54;75.3;64.12;68.76
Navaridas;58.67;72.84;97.09;173.19;119.71
Oiartzun;88.81;79.77;82.21;84.22;84.97
Okondo;89.68;71.73;75.7;99.19;94.46
Olaberria;151.24;149.1;251.12;258.42;171.34
Ondarroa;100.01;88.64;94.31;85.33;90.42
Ordizia;115.19;110.01;100.29;107.88;107.13
Orendain;58.05;75.55;80.82;70.66;78.45
Orexa;61.02;54.6;48.73;77.39;90.62
Orio;112.38;122.85;91.24;99.02;111.42
Ormaiztegi;128.85;122.08;160.2;157.03;146.48
Orozko;130.43;191.55;103.59;123.4;135.54
Ortuella;89.53;95.27;77.63;83.08;108.22
Otxandio;92.32;100.17;97.74;81.6;92.92
Oyón-Oion;121.07;119.55;132.15;149.96;134.38
Oñati;105.01;113.09;120.23;120.99;116.25
Pasaia;119.44;141.78;101.11;100.87;101.1
Peñacerrada-Urizaharra;91.76;80.45;84.45;86.27;100.51
Plentzia;118.3;113.81;111.13;123.87;120.11
Portugalete;99.06;97.18;100.09;100.45;123.54
Ribera Baja/Erribera Beitia;135.55;139.45;160.3;145.56;115.88
Salvatierra/Agurain;104.51;95.44;102.43;102.1;101.09
Samaniego;87.5;93.52;97.66;165.32;108.44
San Millán/Donemiliaga;81.4;73.09;86.46;80.54;84.46
Santurtzi;116.68;109.62;107.3;105.13;124.28
Segura;82.97;69.93;104.81;97.95;106.34
Sestao;107.3;125.14;131.66;106.36;120.23
Sondika;90.63;98.18;95.15;83.68;91.16
Sopela;118.21;114.67;108.33;108.03;126.52
Sopuerta;88.9;84.03;110.27;107.69;83.96
Soraluze-Placencia de las Armas;88.25;89.62;92.93;109.96;121.7
Sukarrieta;162.78;146.41;145.22;139.51;116.82
Tolosa;95.04;100.61;102.55;94.04;95.3
Trucios-Turtzioz;72.51;71.31;87.31;53.5;59.25
Ubide;87.25;69.03;71.22;80.97;87.62
Ugao-Miraballes;93.52;117.88;76.05;107.17;94.4
Urduliz;105.93;118.23;95.2;95.23;63.62
Urduña/Orduña;105.02;92.88;87.83;91.98;88.54
Urkabustaiz;76.52;73.91;82.4;93.09;93.17
Urnieta;103.91;101.98;96.13;94.68;108.88
Urretxu;74.14;77.31;85.71;90.39;98.36
Usurbil;93.21;93.53;102.78;115.85;108.76
Valdegovía/Gaubea;92.86;83.34;83.76;87.53;107.96
Valle de Trápaga-Trapagaran;91.51;85.46;108.31;100.01;81.61
Villabona;87.91;89.55;100.88;92.83;110.31
Villabuena de Álava/Eskuernaga;92.39;88.7;111.09;132.83;93.68
Vitoria-Gasteiz;100.76;97.32;100.05;101.32;102.06
Yécora/Iekora;58.53;60.72;99.31;116.68;143.1
Zaldibar;99.44;93.97;99.67;102.3;90.6
Zaldibia;67.76;67.28;79.19;71.56;81.75
Zalduondo;83.22;78.87;105.87;108.35;109.49
Zalla;92.11;96.79;109.47;99.42;101.85
Zambrana;385.18;308.08;244.93;274.06;268.6
Zamudio;126.75;125.03;107.47;97.66;97.91
Zaratamo;77.4;73.17;76.91;73.01;84.55
Zarautz;106.8;107.04;96.73;97.57;109.3
Zeanuri;80.61;96.02;82.17;87.58;90.45
Zeberio;93.53;94.12;67.04;76.16;73.06
Zegama;77.53;77.18;99.45;114.82;122.73
Zerain;106.04;68.23;71.36;81.58;76.76
Zestoa;93.12;91.1;139.29;114.39;110.57
Zierbena;326.18;352.43;581.39;671.8;133.83
Zigoitia;72.29;79.74;108.81;95.83;204.3
Ziortza-Bolibar;64.89;69.71;80.44;165.55;91.24
Zizurkil;88.9;110.83;103.89;91.96;101.69
Zuia;85.58;80;80.79;76.54;111.46
Zumaia;127.3;118.38;109.98;125.67;128.31
Zumarraga;116.55;107.9;120.42;131.33;107.36
